Week 3 Part 3: error analysis of the Metropolis runs (quantity: |M|)
naive_err   = std(|M|)/sqrt(n)                      (assumes independent sweeps)
blocked_err = std(50 block means, ddof=1)/sqrt(50)     (needs block_len >> tau_int)
ratio       = blocked_err / naive_err
tau_int     = 1/2 + sum rho(t) on |M|, sum stopped once lag > 6 * running tau_int
block_len/tau: how many autocorrelation times one block spans; >> 1 is required
NOTE: the 50-block estimate is NOT automatically final or honest; near T_c,
      where block_len/tau approaches 1, it still underestimates the true error.

=== coarse runs, 5000 measured sweeps (L = 32) ===
    T  n_sweeps   mean|M|  naive_err blocked_err  ratio  tau_int block_len/tau
 1.50      5000    0.9865   0.000088    0.000118   1.34     1.54          65.1
 1.60      5000    0.9797   0.000119    0.000265   2.22     2.15          46.5
 1.70      5000    0.9696   0.000155    0.000312   2.01     2.05          48.9
 1.80      5000    0.9563   0.000201    0.000427   2.12     2.78          36.0
 1.90      5000    0.9376   0.000278    0.000849   3.05     5.16          19.4
 2.00      5000    0.9104   0.000405    0.001505   3.72     7.53          13.3
 2.10      5000    0.8734   0.000572    0.002952   5.16    13.71           7.3
 2.20      5000    0.7926   0.001003    0.006184   6.16    20.71           4.8
 2.30      5000    0.5958   0.002774    0.025169   9.07   170.13           0.6
 2.40      5000    0.3404   0.002559    0.021812   8.52    49.84           2.0
 2.50      5000    0.2120   0.002141    0.016439   7.68    43.73           2.3
 2.60      5000    0.1428   0.001540    0.009200   5.97    20.98           4.8
 2.70      5000    0.1282   0.001329    0.006165   4.64    11.90           8.4
 2.80      5000    0.1088   0.001109    0.005406   4.87    14.48           6.9
 2.90      5000    0.1059   0.001133    0.004717   4.16    10.36           9.7
 3.00      5000    0.0865   0.000925    0.002665   2.88     5.09          19.6
 3.10      5000    0.0751   0.000789    0.001971   2.50     4.30          23.3
 3.20      5000    0.0723   0.000763    0.002084   2.73     3.95          25.3
 3.30      5000    0.0718   0.000745    0.001727   2.32     3.29          30.4
 3.40      5000    0.0653   0.000705    0.001612   2.29     2.93          34.1
 3.50      5000    0.0590   0.000634    0.001251   1.97     2.29          43.7

=== coarse runs, 5000 measured sweeps (L = 64) ===
    T  n_sweeps   mean|M|  naive_err blocked_err  ratio  tau_int block_len/tau
 1.50      5000    0.9865   0.000044    0.000071   1.62     1.48          67.4
 1.60      5000    0.9797   0.000059    0.000111   1.89     1.96          51.1
 1.70      5000    0.9701   0.000073    0.000170   2.32     2.21          45.2
 1.80      5000    0.9564   0.000103    0.000286   2.77     3.23          31.0
 1.90      5000    0.9388   0.000134    0.000388   2.91     4.30          23.2
 2.00      5000    0.9121   0.000181    0.000545   3.01     5.93          16.9
 2.10      5000    0.8704   0.000266    0.001183   4.45    11.40           8.8
 2.20      5000    0.7864   0.000642    0.004938   7.69    55.26           1.8
 2.30      5000    0.5931   0.001177    0.010052   8.54    60.59           1.7
 2.40      5000    0.1624   0.001504    0.013327   8.86   107.49           0.9
 2.50      5000    0.0939   0.000943    0.006727   7.13    35.64           2.8
 2.60      5000    0.0725   0.000778    0.004587   5.89    19.74           5.1
 2.70      5000    0.0646   0.000700    0.004068   5.81    16.91           5.9
 2.80      5000    0.0537   0.000587    0.002712   4.62    12.66           7.9
 2.90      5000    0.0445   0.000456    0.001486   3.26     6.43          15.5
 3.00      5000    0.0429   0.000461    0.001655   3.59     6.76          14.8
 3.10      5000    0.0375   0.000391    0.001179   3.02     4.71          21.2
 3.20      5000    0.0348   0.000381    0.001060   2.78     4.35          23.0
 3.30      5000    0.0355   0.000377    0.000870   2.31     2.93          34.1
 3.40      5000    0.0321   0.000339    0.000705   2.08     2.78          35.9
 3.50      5000    0.0316   0.000335    0.000919   2.74     3.78          26.5

=== window runs, 100000 measured sweeps (L = 32) ===
    T  n_sweeps   mean|M|  naive_err blocked_err  ratio  tau_int block_len/tau
